obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""660.512""","=""660.51967+""","=""2""","=""""",,"=""93123.3409""","=""108258.7553""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L7408""",
"=""665.223475""","=""665.22347+""","=""40""","=""2.18e+06""",C+,"=""92964.3943""","=""107992.7867""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""T3774n,T3599,u41""","=""L11281""",
"=""669.922960""","=""669.92297+""","=""60""","=""1.68e+06""",C+,"=""93123.3409""","=""108046.3102""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""T3774n,T3599,u41""","=""L11281""",
"=""672.33440""","=""672.33442+""","=""4""","=""1.31e+05""",D+,"=""93123.3409""","=""107992.7867""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""T3774n,T3599,u41""","=""L11281""",
"=""674.00985""","=""674.00982+""","=""20""","=""6.7e+05""",D+,"=""92964.3943""","=""107796.8790""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""T3774n,T3599,u41""","=""L11281""",
"=""676.447""","=""676.45+""","=""1""","=""""",,"=""96771.494""","=""111550.5""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).9f""","=""2[3/2]""","=""1""",,"=""""","=""L3990""",
"=""677.615""","=""677.61516+""","=""3""","=""""",,"=""93123.3409""","=""107876.9080""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""""","=""L7408""",
"=""678.921""","=""678.9240+""","=""1*""","=""""",,"=""97085.193""","=""111810.318""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).10f""","=""2[3/2]""","=""2""",,"=""""","=""L4004""",
"=""678.921""","=""678.9314+""","=""1*""","=""""",,"=""97085.193""","=""111810.157""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).10f""","=""2[3/2]""","=""1""",,"=""""","=""L4004""",
"=""679.54104""","=""679.54103+""","=""4""","=""1.31e+05""",D,"=""92964.3943""","=""107676.1489""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T3774n,T3384,T7227,u41""","=""L11281""",
"=""681.310882""","=""681.31087+""","=""50""","=""2.57e+06""",D+,"=""93123.3409""","=""107796.8790""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""T3774n,T3599,u41""","=""L11281""",
"=""682.90888""","=""682.90887+""","=""8""","=""1.77e+06""",D+,"=""92964.3943""","=""107603.5969""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""",,"=""T3774n,T3599,u41""","=""L11281""",
"=""684.64003""","=""684.64003+""","=""20""","=""3.3e+05""",D+,"=""91168.5150""","=""105770.7014""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T3600n,T7227,u41""","=""L11281""",
"=""686.96308""","=""686.96307+""","=""20""","=""2.22e+06""",D+,"=""93123.3409""","=""107676.1489""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T3774n,T3384,T7227,u41""","=""L11281""",
"=""690.422""","=""690.4211+""","=""15""","=""""",,"=""91168.5150""","=""105648.434""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L7408""",
"=""690.46787""","=""690.46788+""","=""100""","=""1.59e+06""",C+,"=""91168.5150""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T3408n,T7199,T3378""","=""L11281""",
"=""691.129""","=""691.12+""","=""2*""","=""""",,"=""97085.193""","=""111550.5""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).9f""","=""2[3/2]""","=""1""",,"=""""","=""L4004""",
"=""691.129""","=""691.116+""","=""2*""","=""""",,"=""97797.287""","=""112262.64""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""4s2.4p5.(2P*<3/2>).13f""","=""2[9/2]""","=""5""",,"=""""","=""L4004""",
"=""693.530""","=""693.528+""","=""1h""","=""""",,"=""96771.494""","=""111186.54""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).8f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""699.305""","=""699.3051+""","=""2""","=""""",,"=""97085.193""","=""111381.160""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
"=""700.079""","=""700.07823+""","=""7""","=""4.1e+05""",D+,"=""94092.8626""","=""108373.0423""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T3600n,u41""","=""L7408""",
"=""705.727""","=""705.72633+""","=""10""","=""1.60e+06""",D,"=""94092.8626""","=""108258.7553""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""T3774n,T7227,u41""","=""L7408""",
"=""707.736""","=""707.74+""","=""0""","=""""",,"=""97687.779""","=""111813.4""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).10f""","=""2[5/2]""","=""3""",,"=""""","=""L3990""",
"=""708.633""","=""708.633+""","=""1""","=""""",,"=""97085.193""","=""111192.99""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).8f""","=""2[5/2]""","=""2""",,"=""""","=""L3990""",
"=""708.951""","=""708.957+""","=""1h""","=""""",,"=""97085.193""","=""111186.54""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).8f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""713.367""","=""713.36+""","=""1""","=""""",,"=""97797.287""","=""111811.5""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""4s2.4p5.(2P*<3/2>).10f""","=""2[9/2]""","=""5""",,"=""""","=""L4004""",
"=""714.345""","=""714.3448+""","=""8""","=""7.7e+04""",D,"=""91168.5150""","=""105163.499""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T3774n,u41""","=""L7408""",
"=""715.221""","=""715.222+""","=""5*""","=""3.32e+05""",C,"=""91168.5150""","=""105146.33""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""T3408n,T7199,T3378""","=""L7408""",
"=""715.221""","=""715.22+""","=""5*""","=""""",,"=""97687.779""","=""111665.6""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).12p""","=""2[5/2]""","=""3""",,"=""""","=""L7408""",
"=""715.221""","=""715.22+""","=""5*""","=""""",,"=""97687.779""","=""111665.6""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).12p""","=""2[5/2]""","=""2""",,"=""""","=""L7408""",
"=""718.047""","=""718.047+""","=""3""","=""""",,"=""91168.5150""","=""105091.35""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",,"=""""","=""L7408""",
"=""720.059""","=""720.057+""","=""2h""","=""""",,"=""96771.494""","=""110655.45""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""720.887""","=""720.886+""","=""1""","=""""",,"=""97687.779""","=""111555.77""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).9f""","=""2[5/2]""","=""3""",,"=""""","=""L3990""",
"=""722.4103""","=""722.4106+""","=""100""","=""2.98e+06""",C+,"=""91168.5150""","=""105007.245""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T3408n,T7199,T3378""","=""L7292""",
"=""726.808""","=""726.804+""","=""2""","=""""",,"=""97797.287""","=""111552.37""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""4s2.4p5.(2P*<3/2>).9f""","=""2[9/2]""","=""5""",,"=""""","=""L3990""",
"=""728.7262""","=""728.7259+""","=""80""","=""2.97e+06""",D+,"=""91168.5150""","=""104887.315""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T3774n,u41""","=""L7408""",
"=""730.125""","=""730.1246+""","=""5""","=""""",,"=""97687.779""","=""111380.299""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<1/2>).4f""","=""2[5/2]""","=""3""",,"=""""","=""L7408""",
"=""734.116""","=""734.124+""","=""2""","=""""",,"=""98867.429""","=""112485.36""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).16f""","=""2[7/2]""","=""3""",,"=""""","=""L7408""",
"=""735.996""","=""735.99612+""","=""5""","=""7.8e+05""",D,"=""94092.8626""","=""107676.1489""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T3774n,T3384,T7227,u41""","=""L7408""",
"=""736.143""","=""736.144+""","=""1""","=""""",,"=""97085.193""","=""110665.75""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[5/2]""","=""2""",,"=""""","=""L3990""",
"=""736.680""","=""736.672+""","=""2h""","=""""",,"=""97085.193""","=""110656.01""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""2""",,"=""""","=""L7408""",
"=""736.702""","=""736.703+""","=""2h""","=""""",,"=""97085.193""","=""110655.45""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""740.270""","=""740.269+""","=""1h""","=""""",,"=""97687.779""","=""111192.66""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).8f""","=""2[5/2]""","=""3""",,"=""""","=""L7408""",
"=""740.599""","=""740.605+""","=""1""","=""""",,"=""97687.779""","=""111186.54""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).8f""","=""2[3/2]""","=""1""",,"=""""","=""L3990""",
"=""742.554""","=""742.55417+""","=""60""","=""2.55e+06""",D+,"=""92307.3786""","=""105770.7014""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T3600n,T7227,u41""","=""L7408""",
"=""746.501""","=""746.497+""","=""3h""","=""""",,"=""97797.287""","=""111189.50""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""4s2.4p5.(2P*<3/2>).8f""","=""2[9/2]""","=""5""",,"=""""","=""L7408""",
"=""748.6862""","=""748.68627+""","=""100""","=""2.89e+06""",C+,"=""92294.4012""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T3600n,T3408,T7199""","=""L7292""",
"=""749.358""","=""749.3595+""","=""20""","=""""",,"=""92307.3786""","=""105648.434""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L7408""",
"=""749.415""","=""749.41460+""","=""30""","=""6.1e+05""",D+,"=""92307.3786""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T3600n,T3408,T7199""","=""L7408""",
"=""758.74136""","=""758.74134+""","=""1000""","=""4.310e+07""",A+,"=""80916.7680""","=""94092.8626""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",,"=""T7199""","=""L11281""",
"=""760.15457""","=""760.15454+""","=""2000""","=""2.732e+07""",AA,"=""79971.7417""","=""93123.3409""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T7199""","=""L11281""",
"=""761.564""","=""761.56+""","=""1""","=""""",,"=""97945.1664""","=""111072.5""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L7408""",
"=""765.216""","=""765.213+""","=""3h""","=""""",,"=""96771.494""","=""109836.15""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L7408""",
"=""768.52459""","=""768.52458+""","=""400""","=""4.064e+07""",AA,"=""85846.7046""","=""98855.0698""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",,"=""T7199""","=""L11281""",
"=""769.45401""","=""769.45399+""","=""500""","=""4.27e+06""",A,"=""79971.7417""","=""92964.3943""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T7199""","=""L11281""",
"=""770.335""","=""770.342+""","=""2""","=""""",,"=""97687.779""","=""110665.45""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[5/2]""","=""3""",,"=""""","=""L7408""",
"=""770.896""","=""770.903+""","=""1""","=""""",,"=""97687.779""","=""110656.01""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[3/2]""","=""2""",,"=""""","=""L4004""",
"=""771.20""","=""771.200+""","=""1h""","=""""",,"=""98226.268""","=""111189.50""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""4s2.4p5.(2P*<3/2>).8f""","=""2[9/2]""","=""4""",,"=""""","=""L6099""",
"=""774.137""","=""774.1359+""","=""10""","=""4.6e+05""",D+,"=""92294.4012""","=""105208.476""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T3774n,u41""","=""L7408""",
"=""774.6828""","=""774.6829+""","=""50""","=""1.18e+07""",C+,"=""91168.5150""","=""104073.471""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T3774n,T7008""","=""L7292""",
"=""774.916""","=""774.9146+""","=""3""","=""9.2e+04""",D,"=""92307.3786""","=""105208.476""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T3774n,u41""","=""L6099""",
"=""776.589""","=""776.583+""","=""1""","=""""",,"=""97797.287""","=""110670.67""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[7/2]""","=""4""",,"=""""","=""L6099""",
"=""776.843""","=""776.8415+""","=""5""","=""1.03e+05""",D,"=""92294.4012""","=""105163.499""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T3774n,u41""","=""L6099""",
"=""777.240""","=""777.233+""","=""5h""","=""""",,"=""97797.287""","=""110659.90""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""4""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[9/2]""","=""5""",,"=""""","=""L6099""",
"=""777.628""","=""777.6257+""","=""40""","=""8.8e+05""",D+,"=""92307.3786""","=""105163.499""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T3774n,u41""","=""L6099""",
"=""778.666""","=""778.666+""","=""2""","=""""",,"=""92307.3786""","=""105146.33""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L6099""",
"=""780.652""","=""780.65043+""","=""50""","=""2.25e+06""",D+,"=""92964.3943""","=""105770.7014""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T3600n,T7227,u41""","=""L6099""",
"=""783.021""","=""783.019+""","=""2h""","=""""",,"=""97085.193""","=""109852.76""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[5/2]""","=""2""",,"=""""","=""L6099""",
"=""784.001""","=""784.001+""","=""8h""","=""""",,"=""97085.193""","=""109836.77""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""2""",,"=""""","=""L6099""",
"=""784.040""","=""784.039+""","=""4""","=""""",,"=""97085.193""","=""109836.15""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6f""","=""2[3/2]""","=""1""",,"=""""","=""L6099""",
"=""785.48233""","=""785.48229+""","=""200""","=""2.041e+07""",A,"=""85191.6166""","=""97919.1468""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""T7199""","=""L11281""",
"=""786.391""","=""786.3897+""","=""20""","=""2.68e+05""",C,"=""92294.4012""","=""105007.245""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T3774n,T3408,T7199""","=""L6099""",
"=""787.193""","=""787.1933+""","=""2""","=""""",,"=""92307.3786""","=""105007.245""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""""","=""L6099""",
"=""788.176""","=""788.1755+""","=""30""","=""""",,"=""92964.3943""","=""105648.434""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L6099""",
"=""788.236""","=""788.23645+""","=""10""","=""1.73e+05""",D+,"=""92964.3943""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T3600n,T3408,T7199""","=""L6099""",
"=""790.462""","=""790.46136+""","=""30""","=""1.05e+06""",D+,"=""93123.3409""","=""105770.7014""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T3600n,T7227,u41""","=""L6099""",
"=""791.34251""","=""791.34251+""","=""50""","=""4.9e+06""",D+,"=""91168.5150""","=""103801.7929""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T3774n,u41""","=""L11281""",
"=""792.047""","=""792.04470+""","=""40""","=""6.1e+05""",D+,"=""92294.4012""","=""104916.4792""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T3774n,u41""","=""L6099""",
"=""792.85988""","=""792.85988+""","=""40""","=""7.7e+06""",D+,"=""92307.3786""","=""104916.4792""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T3774n,u41""","=""L11281""",
"=""793.834""","=""793.8307+""","=""2""","=""""",,"=""97919.1468""","=""110512.827""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L6099""",
"=""794.699""","=""794.6980+""","=""20""","=""4.2e+05""",D+,"=""92307.3786""","=""104887.315""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T3774n,u41""","=""L6099""",
"=""795.767""","=""795.7713+""","=""2""","=""""",,"=""97945.1664""","=""110508.136""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).8d""","=""2[5/2]*""","=""3""",,"=""""","=""L6099""",
"=""796.262""","=""796.273+""","=""1""","=""""",,"=""97687.779""","=""110242.83""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""",,"=""""","=""L6099""",
"=""798.119""","=""798.11479+""","=""20""","=""""",,"=""97595.9153""","=""110121.9961""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""""","=""L6099""",
"=""798.182""","=""798.1777+""","=""30""","=""""",,"=""93123.3409""","=""105648.434""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L6099""",
"=""798.2406""","=""798.24021+""","=""10""","=""1.42e+06""",C,"=""93123.3409""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T3600n,T3408,T7199""","=""L7292""",
"=""799.078""","=""799.080+""","=""2""","=""""",,"=""98867.429""","=""111378.38""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""4s2.4p5.(2P*<1/2>).4f""","=""2[7/2]""","=""3""",,"=""""","=""L6099""",
"=""799.312""","=""799.31204+""","=""5""","=""""",,"=""97595.9153""","=""110103.2339""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""""","=""L6099""",
"=""803.352""","=""803.353+""","=""2h*""","=""""",,"=""98226.268""","=""110670.67""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[7/2]""","=""3""",,"=""""","=""L6099""",
"=""803.352""","=""803.353+""","=""2h*""","=""""",,"=""98226.268""","=""110670.67""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[7/2]""","=""4""",,"=""""","=""L6099""",
"=""804.050""","=""804.049+""","=""8h""","=""""",,"=""98226.268""","=""110659.90""","=""4s2.4p5.(2P*<3/2>).4d""","=""2[7/2]*""","=""3""","=""4s2.4p5.(2P*<3/2>).7f""","=""2[9/2]""","=""4""",,"=""""","=""L6099""",
"=""805.95048""","=""805.95050+""","=""100""","=""1.583e+07""",B+,"=""85191.6166""","=""97595.9153""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",,"=""T7199""","=""L11281""",
"=""810.402""","=""810.402+""","=""500""","=""6.52e+06""",B+,"=""92294.4012""","=""104630.57""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""",,"=""T6031,u41""","=""L6099""",
"=""810.43660""","=""810.43655+""","=""4000""","=""8.96e+06""",B+,"=""79971.7417""","=""92307.3786""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""T7199""","=""L6099""",
"=""811.29012""","=""811.29006+""","=""500""","=""3.610e+07""",AAA,"=""79971.7417""","=""92294.4012""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""",,"=""T7199""","=""L11281""",
